Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Scale_Cat
"Al Hassan et al. (2012, 2013)",p29,sub14,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1346609,48,500_m_R,LandscapeScale_1
"Al Hassan et al. (2012, 2013)",p29,sub15,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1698466,48,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub16,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.4701498,17,100_m_R,A_LocalScale
Baños-Picón (2011),p32,sub17,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.4081923,17,100_m_R,A_LocalScale
Baños-Picón (2011),p32,sub18,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.07971162,17,100_m_R,A_LocalScale
Baños-Picón (2011),p32,sub19,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3718891,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub20,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3247699,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub21,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.04005704,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub22,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1111527,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub23,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1122294,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub24,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.241193,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub25,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1155629,17,1000_m_R,LandscapeScale_2
Baños-Picón (2011),p32,sub26,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2221213,17,1000_m_R,LandscapeScale_2
Baños-Picón (2011),p32,sub27,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids_wasps,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1843547,17,1000_m_R,LandscapeScale_2
Duflot et al. (2016),p33,sub28,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1270409,80,100_m_R,A_LocalScale
Duflot et al. (2016),p33,sub29,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1719304,80,100_m_R,A_LocalScale
Duflot et al. (2016),p33,sub30,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.0290358,80,100_m_R,A_LocalScale
Duflot et al. (2016),p33,sub31,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1135286,80,250_m_R,A_LocalScale
Duflot et al. (2016),p33,sub32,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2314708,80,250_m_R,A_LocalScale
Duflot et al. (2016),p33,sub33,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3822415,80,250_m_R,A_LocalScale
Duflot et al. (2016),p33,sub34,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.08601372,80,500_m_R,LandscapeScale_1
Duflot et al. (2016),p33,sub35,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1027615,80,500_m_R,LandscapeScale_1
Duflot et al. (2016),p33,sub36,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2643843,80,500_m_R,LandscapeScale_1
Duflot et al. (2014),p34,sub37,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06574255,160,100_m_R,A_LocalScale
Duflot et al. (2014),p34,sub38,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1699231,160,100_m_R,A_LocalScale
Duflot et al. (2014),p34,sub39,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1177779,160,100_m_R,A_LocalScale
Duflot et al. (2014),p34,sub40,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.03041811,160,250_m_R,A_LocalScale
Duflot et al. (2014),p34,sub41,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1418909,160,250_m_R,A_LocalScale
Duflot et al. (2014),p34,sub42,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1083251,160,250_m_R,A_LocalScale
Duflot et al. (2014),p34,sub43,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0204879,160,500_m_R,LandscapeScale_1
Duflot et al. (2014),p34,sub44,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1326874,160,500_m_R,LandscapeScale_1
Duflot et al. (2014),p34,sub45,France,Brittany,Temperate,Multiple,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1107941,160,500_m_R,LandscapeScale_1
Anjum-Zubair et al. (2010),p35,sub46,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2650617,20,100_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub47,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.008297125,20,100_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub48,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08399762,20,100_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub49,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2252415,20,250_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub50,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04298454,20,250_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub51,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2140582,20,250_m_R,A_LocalScale
Anjum-Zubair et al. (2010),p35,sub52,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3639909,20,500_m_R,LandscapeScale_1
Anjum-Zubair et al. (2010),p35,sub53,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2378076,20,500_m_R,LandscapeScale_1
Anjum-Zubair et al. (2010),p35,sub54,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.222817,20,500_m_R,LandscapeScale_1
Anjum-Zubair et al. (2010),p35,sub55,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3883678,20,1000_m_R,LandscapeScale_2
Anjum-Zubair et al. (2010),p35,sub56,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3370498,20,1000_m_R,LandscapeScale_2
Anjum-Zubair et al. (2010),p35,sub57,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1069336,20,1000_m_R,LandscapeScale_2
Schmidt-Entling & Döbeli (2009),p36,sub58,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3205862,20,100_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub59,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1503772,20,100_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub60,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1226287,20,100_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub61,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4530265,20,250_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub62,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04500548,20,250_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub63,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.4121881,20,250_m_R,A_LocalScale
Schmidt-Entling & Döbeli (2009),p36,sub64,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4641936,20,500_m_R,LandscapeScale_1
Schmidt-Entling & Döbeli (2009),p36,sub65,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2182305,20,500_m_R,LandscapeScale_1
Schmidt-Entling & Döbeli (2009),p36,sub66,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.4828201,20,500_m_R,LandscapeScale_1
Schmidt-Entling & Döbeli (2009),p36,sub67,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.384602,20,1000_m_R,LandscapeScale_2
Schmidt-Entling & Döbeli (2009),p36,sub68,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0851555,20,1000_m_R,LandscapeScale_2
Schmidt-Entling & Döbeli (2009),p36,sub69,Switzerland,Solothurn and Bern,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.5358952,20,1000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub70,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.09102974,38,100_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub71,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4574813,38,100_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub72,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3376171,38,100_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub73,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1146359,38,250_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub74,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.6322917,38,250_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub75,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2527099,38,250_m_R,A_LocalScale
Schmidt et al. (2008),p37,sub76,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2685723,38,500_m_R,LandscapeScale_1
Schmidt et al. (2008),p37,sub77,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.7089029,38,500_m_R,LandscapeScale_1
Schmidt et al. (2008),p37,sub78,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2333526,38,500_m_R,LandscapeScale_1
Schmidt et al. (2008),p37,sub79,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3085424,38,1000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub80,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.686198,38,1000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub81,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2248071,38,1000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub82,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3032632,38,2000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub83,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.6654026,38,2000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub84,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1576166,38,2000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub85,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2895352,38,3000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub86,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.6280129,38,3000_m_R,LandscapeScale_2
Schmidt et al. (2008),p37,sub87,Germany,Goettingen and Giessen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.07647028,38,3000_m_R,LandscapeScale_2
Fischer et al. (2011),p38,sub88,Germany,Goettingen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.325077,22,100_m_R,A_LocalScale
Fischer et al. (2011),p38,sub89,Germany,Goettingen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2910036,22,100_m_R,A_LocalScale
Fischer et al. (2011),p38,sub90,Germany,Goettingen,Temperate,Wheat,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3782014,22,100_m_R,A_LocalScale
