Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Animals_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Crop_Cover_Mean,Article_Tittle 
"Al Hassan et al. (2012, 2013)",p29,sub23,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1695458,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub24,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09582995,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub25,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05765596,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub26,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1404078,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub27,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06392887,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub28,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01292008,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub29,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1040588,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub30,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1485831,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
Ande01 ,p30,sub31,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1380812,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub32,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2121139,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub33,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1448996,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub34,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2689743,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub35,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2852648,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub36,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1203522,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub37,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3352282,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub38,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3294456,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub39,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1703272,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub40,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3683203,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub41,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3174137,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub42,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1294561,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub43,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3458069,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub44,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3219577,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub45,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1891219,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub46,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4148521,60,3000_m_R,49.56692,In preparation data
Ande01 ,p30,sub47,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4795759,60,3000_m_R,49.56692,In preparation data
Ande01 ,p30,sub48,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2888202,60,3000_m_R,49.56692,In preparation data
Ande01 ,p30,sub49,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.000305594,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub50,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0966444,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub51,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02412798,60,100_m_R,90.47746,In preparation data
Ande01 ,p30,sub52,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02072019,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub53,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05034217,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub54,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06810911,60,250_m_R,76.56984,In preparation data
Ande01 ,p30,sub55,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06869595,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub56,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.03682664,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub57,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02581636,60,500_m_R,63.333,In preparation data
Ande01 ,p30,sub58,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.01719992,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub59,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02341109,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub60,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02343537,60,1000_m_R,51.63733,In preparation data
Ande01 ,p30,sub61,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.002692443,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub62,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01270073,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub63,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.005223584,60,2000_m_R,49.36132,In preparation data
Ande01 ,p30,sub64,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01602631,60,3000_m_R,49.56692,In preparation data
Ande01 ,p30,sub65,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.007681489,60,3000_m_R,49.56692,In preparation data
Ande01 ,p30,sub66,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0541041,60,3000_m_R,49.56692,In preparation data
Banos-Picón et al. (2013),p31,sub67,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02669378,35,100_m_R,98.28714,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub68,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.04366119,35,100_m_R,98.28714,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub69,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.0423944,35,100_m_R,98.28714,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub70,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.117062,35,250_m_R,95.78215,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub71,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.02932301,35,250_m_R,95.78215,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub72,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08137354,35,250_m_R,95.78215,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub73,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.08575536,35,500_m_R,92.89044,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub74,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08419894,35,500_m_R,92.89044,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub75,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1360282,35,500_m_R,92.89044,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub76,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.001215729,35,1000_m_R,92.39672,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub77,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1928905,35,1000_m_R,92.39672,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Banos-Picón et al. (2013),p31,sub78,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2410039,35,1000_m_R,92.39672,Comparison of two Mediterranean crop systems: Polycrop favours trap-nesting solitary bees over monocrop 
Baños-Picón (2011),p32,sub79,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3566587,17,100_m_R,98.82735,La heterogeneidad en paisajes agrícolas: análisis de su influencia en la diversidad e interacciones biológicas de las comunidades de avispas y abejas nidificantes aéreas (Hymenoptera: Apoidea) como indicadores sensibles de la calidad del medio. PhD thesis. University of Salamanca
Baños-Picón (2011),p32,sub80,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3071739,17,100_m_R,98.82735,La heterogeneidad en paisajes agrícolas: análisis de su influencia en la diversidad e interacciones biológicas de las comunidades de avispas y abejas nidificantes aéreas (Hymenoptera: Apoidea) como indicadores sensibles de la calidad del medio. PhD thesis. University of Salamanca
Baños-Picón (2011),p32,sub81,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4818582,17,100_m_R,98.82735,La heterogeneidad en paisajes agrícolas: análisis de su influencia en la diversidad e interacciones biológicas de las comunidades de avispas y abejas nidificantes aéreas (Hymenoptera: Apoidea) como indicadores sensibles de la calidad del medio. PhD thesis. University of Salamanca
Baños-Picón (2011),p32,sub82,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1201406,17,250_m_R,96.48756,La heterogeneidad en paisajes agrícolas: análisis de su influencia en la diversidad e interacciones biológicas de las comunidades de avispas y abejas nidificantes aéreas (Hymenoptera: Apoidea) como indicadores sensibles de la calidad del medio. PhD thesis. University of Salamanca
Baños-Picón (2011),p32,sub83,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1077891,17,250_m_R,96.48756,La heterogeneidad en paisajes agrícolas: análisis de su influencia en la diversidad e interacciones biológicas de las comunidades de avispas y abejas nidificantes aéreas (Hymenoptera: Apoidea) como indicadores sensibles de la calidad del medio. PhD thesis. University of Salamanca
